generation,evaluations,best_fitness,avg_fitness,std_fitness,gap,seed,n_circles,strategy,config,init_mode
0,210,0.09138938479503718,0.06890292999764726,0.009003543358731386,0.6811386276685656,0,20,SINGLE_VARIANCE,baseline,random
1,420,0.09246465129575662,0.06907702648014168,0.009041582896912235,0.6773869780343069,0,20,SINGLE_VARIANCE,baseline,random
2,630,0.12039787769765062,0.06832599279584523,0.012736916757715079,0.5799267869614784,0,20,SINGLE_VARIANCE,baseline,random
3,840,0.11438859188368455,0.07246803974561136,0.0114912347810868,0.6008934356118706,0,20,SINGLE_VARIANCE,baseline,random
4,1050,0.11062196036689444,0.07110904331565832,0.011640953746550789,0.6140353699536341,0,20,SINGLE_VARIANCE,baseline,random
5,1260,0.09364064244742654,0.06938495221081904,0.009606596414770007,0.6732838958950402,0,20,SINGLE_VARIANCE,baseline,random
6,1470,0.11063204337472929,0.07307252008737451,0.011047724115161445,0.6140001899190747,0,20,SINGLE_VARIANCE,baseline,random
7,1680,0.1100929971933937,0.06786225249671875,0.011750808658455207,0.6158809445112646,0,20,SINGLE_VARIANCE,baseline,random
8,1890,0.11123562752257346,0.06576788128776975,0.012158367320169512,0.6118942596720254,0,20,SINGLE_VARIANCE,baseline,random
9,2100,0.0989151760877305,0.06973317278507585,0.011279705507309244,0.6548808282003886,0,20,SINGLE_VARIANCE,baseline,random
10,2310,0.09620951414104931,0.0680195177427049,0.0113443869714731,0.6643209954946382,0,20,SINGLE_VARIANCE,baseline,random
11,2520,0.10557648325361069,0.06620494142647085,0.011467156584883969,0.6316392498792582,0,20,SINGLE_VARIANCE,baseline,random
12,2730,0.11034325092235242,0.07051304752091524,0.013454363477120245,0.6150077988212505,0,20,SINGLE_VARIANCE,baseline,random
13,2940,0.0838962432384342,0.07123401101994843,0.007269579267559867,0.7072825108467996,0,20,SINGLE_VARIANCE,baseline,random
14,3150,0.08711443501992822,0.06752184632776172,0.007740635886652625,0.696054105598484,0,20,SINGLE_VARIANCE,baseline,random
15,3360,0.0895852517832841,0.06839074771799922,0.008889660883824767,0.6874333229363608,0,20,SINGLE_VARIANCE,baseline,random
16,3570,0.0890736703123234,0.06677429325254719,0.008313272155270352,0.6892182520094222,0,20,SINGLE_VARIANCE,baseline,random
17,3780,0.09295269275295645,0.07259874429288495,0.009890536759126097,0.6756841810503205,0,20,SINGLE_VARIANCE,baseline,random
18,3990,0.09102679369509242,0.07110253564668322,0.009730685381794127,0.6824037231277685,0,20,SINGLE_VARIANCE,baseline,random
19,4200,0.09202292421610257,0.06974140738785245,0.010219710074295712,0.6789281822248192,0,20,SINGLE_VARIANCE,baseline,random
20,4410,0.0893026205350532,0.06810518796166662,0.008933390324616338,0.6884194351404944,0,20,SINGLE_VARIANCE,baseline,random
21,4620,0.09088230821361452,0.07067735652948146,0.00831253994657516,0.6829078389942811,0,20,SINGLE_VARIANCE,baseline,random
