generation,evaluations,best_fitness,avg_fitness,std_fitness,gap,seed,n_circles,strategy,config,init_mode
0,210,0.11072844167569959,0.07056635309946825,0.0119066361874219,0.6136638522294541,0,20,MULTIPLE_VARIANCE,baseline,random
1,420,0.10606046658798095,0.07506568326868711,0.012074441376576704,0.629950611854952,0,20,MULTIPLE_VARIANCE,baseline,random
2,630,0.0983587649567073,0.07514171928398221,0.007822768870327625,0.6568221698257474,0,20,MULTIPLE_VARIANCE,baseline,random
3,840,0.1043851874768853,0.07103829770701958,0.011370893225440905,0.6357957304931854,0,20,MULTIPLE_VARIANCE,baseline,random
4,1050,0.10711469935055258,0.07524001399941603,0.01087691384637339,0.6262723498097019,0,20,MULTIPLE_VARIANCE,baseline,random
5,1260,0.1093300535522915,0.08012227642854067,0.00942713719183864,0.6185428866718229,0,20,MULTIPLE_VARIANCE,baseline,random
6,1470,0.09355877699081618,0.06986049235083087,0.00926491469015652,0.6735695278850122,0,20,MULTIPLE_VARIANCE,baseline,random
7,1680,0.09874495099224903,0.07249160386799072,0.011894601574014755,0.6554747506528944,0,20,MULTIPLE_VARIANCE,baseline,random
8,1890,0.09520051707443228,0.0703424910703005,0.009622125459370696,0.6678414283114413,0,20,MULTIPLE_VARIANCE,baseline,random
9,2100,0.09968015094965599,0.07625206123661889,0.008401118782512089,0.6522117990257239,0,20,MULTIPLE_VARIANCE,baseline,random
10,2310,0.10269563710815391,0.07778187909149441,0.010266425738315786,0.6416906421440846,0,20,MULTIPLE_VARIANCE,baseline,random
11,2520,0.11516569374353623,0.07755094624717934,0.010858172566143883,0.5981820948360317,0,20,MULTIPLE_VARIANCE,baseline,random
12,2730,0.10061735706828746,0.07646588497075707,0.008872734633696573,0.6489418478184314,0,20,MULTIPLE_VARIANCE,baseline,random
13,2940,0.10280310510087941,0.07512724459351865,0.0090625856221553,0.641315681838585,0,20,MULTIPLE_VARIANCE,baseline,random
14,3150,0.09563499316211221,0.07322977003497698,0.009477540947743371,0.6663255231341221,0,20,MULTIPLE_VARIANCE,baseline,random
15,3360,0.10682965623593556,0.0793768297867531,0.00835472294652596,0.6272668771161747,0,20,MULTIPLE_VARIANCE,baseline,random
