generation,evaluations,best_fitness,avg_fitness,std_fitness,gap,seed,n_circles,strategy,config,init_mode
0,210,0.2822244214288899,0.206660131482103,0.02869422498593064,0.47336206004532605,0,7,SINGLE_VARIANCE,baseline,random
1,420,0.27231991207160167,0.2130929268522193,0.025600056367935223,0.4918441261180467,0,7,SINGLE_VARIANCE,baseline,random
2,630,0.2985986517767629,0.2203552829390025,0.03285294778528769,0.44280733024877694,0,7,SINGLE_VARIANCE,baseline,random
3,840,0.33458296925699393,0.20973715406635543,0.03814778648329737,0.37565967969282144,0,7,SINGLE_VARIANCE,baseline,random
4,1050,0.2934394902841763,0.21412052236443568,0.029892878768599494,0.45243445665617,0,7,SINGLE_VARIANCE,baseline,random
5,1260,0.3244786148243192,0.2060551349448004,0.032664589501962875,0.39451466175303435,0,7,SINGLE_VARIANCE,baseline,random
6,1470,0.31307707187246914,0.21135250011439624,0.03539464001633358,0.41579023054352604,0,7,SINGLE_VARIANCE,baseline,random
7,1680,0.2707835223080405,0.2099581518433723,0.029370853293993127,0.4947110684469662,0,7,SINGLE_VARIANCE,baseline,random
8,1890,0.27341615221567145,0.19899160784221262,0.02703331082098207,0.48979851416056414,0,7,SINGLE_VARIANCE,baseline,random
9,2100,0.2868730751018299,0.20516888314397663,0.026267183270965826,0.4646875541982242,0,7,SINGLE_VARIANCE,baseline,random
10,2310,0.28033128206188457,0.21902363410945902,0.022588145209804913,0.4768947061970625,0,7,SINGLE_VARIANCE,baseline,random
11,2520,0.26510746465683205,0.1987992907150528,0.019277072879904256,0.5053027362174661,0,7,SINGLE_VARIANCE,baseline,random
12,2730,0.30352203457513355,0.20411328837505305,0.029036767782534785,0.43362017287446203,0,7,SINGLE_VARIANCE,baseline,random
13,2940,0.2768365220126742,0.20823796340005013,0.02831671689002966,0.48341601722901995,0,7,SINGLE_VARIANCE,baseline,random
14,3150,0.28043296905390575,0.1967828010347202,0.04169971439105718,0.4767049556867165,0,7,SINGLE_VARIANCE,baseline,random
15,3360,0.28941017247335876,0.20664175546554606,0.03199132868084836,0.45995326605107667,0,7,SINGLE_VARIANCE,baseline,random
16,3570,0.2672969506007264,0.2145503222415732,0.02360364481071663,0.5012170998249303,0,7,SINGLE_VARIANCE,baseline,random
17,3780,0.25907756489865563,0.1887688464218375,0.026098732669025806,0.516554682348497,0,7,SINGLE_VARIANCE,baseline,random
18,3990,0.27487579846203175,0.2179967901650065,0.02677952077411017,0.4870747771843172,0,7,SINGLE_VARIANCE,baseline,random
19,4200,0.277905912615715,0.21483964404529748,0.034996485200619765,0.48142050719717744,0,7,SINGLE_VARIANCE,baseline,random
20,4410,0.27297561338560694,0.19843975347080897,0.028029891670455023,0.490620570808818,0,7,SINGLE_VARIANCE,baseline,random
21,4620,0.2740574603192158,0.20714970414674277,0.032615765544116,0.48860181694769755,0,7,SINGLE_VARIANCE,baseline,random
22,4830,0.369061014321545,0.22138799300792664,0.04397371555042285,0.31132277172954453,0,7,SINGLE_VARIANCE,baseline,random
23,5040,0.2812333963541852,0.20932207111794648,0.02597102877715277,0.47521133801051246,0,7,SINGLE_VARIANCE,baseline,random
24,5250,0.29482884708019497,0.2054947571381235,0.03157249237255099,0.44984188157987864,0,7,SINGLE_VARIANCE,baseline,random
25,5460,0.2875260004123465,0.21672997789528187,0.03073108192676681,0.46346917898202644,0,7,SINGLE_VARIANCE,baseline,random
26,5670,0.28780947011147207,0.22039159781558093,0.032799142089046135,0.462940217322255,0,7,SINGLE_VARIANCE,baseline,random
27,5880,0.27915860985608293,0.20272251735619892,0.027775552788917936,0.47908294232340026,0,7,SINGLE_VARIANCE,baseline,random
28,6090,0.2945202717292633,0.20646629956756854,0.030380687776431558,0.45041769102369883,0,7,SINGLE_VARIANCE,baseline,random
29,6300,0.259293994237987,0.1864259561958628,0.02655273654781627,0.5161508197031804,0,7,SINGLE_VARIANCE,baseline,random
30,6510,0.2869846022691027,0.21164071101989484,0.030275736362073133,0.46447944167088107,0,7,SINGLE_VARIANCE,baseline,random
31,6720,0.2741329197009844,0.22030469497286143,0.023956419692167556,0.48846100782436347,0,7,SINGLE_VARIANCE,baseline,random
32,6930,0.30874800648292516,0.19957727194412203,0.03822772600180562,0.42386837653505904,0,7,SINGLE_VARIANCE,baseline,random
33,7140,0.2641201918159485,0.20626015838937403,0.02534296415465578,0.5071450124190213,0,7,SINGLE_VARIANCE,baseline,random
34,7350,0.2956747708544475,0.20646639685529886,0.03293831155908163,0.4482633663274582,0,7,SINGLE_VARIANCE,baseline,random
35,7560,0.29033031477841953,0.2037434056557735,0.03105929687646039,0.4582362571347365,0,7,SINGLE_VARIANCE,baseline,random
36,7770,0.28988161522520545,0.2047595243539474,0.03364960315508313,0.45907354189970073,0,7,SINGLE_VARIANCE,baseline,random
37,7980,0.31182912416005015,0.21115707877444528,0.03177600603391875,0.41811893267749456,0,7,SINGLE_VARIANCE,baseline,random
38,8190,0.2810939150547356,0.2067574664404751,0.02320225145147652,0.4754716136586383,0,7,SINGLE_VARIANCE,baseline,random
39,8400,0.25745754657871717,0.20053977870483525,0.02395910331317062,0.5195776776880984,0,7,SINGLE_VARIANCE,baseline,random
40,8610,0.2958107219949072,0.2084515387638958,0.03156080397317979,0.4480096780456869,0,7,SINGLE_VARIANCE,baseline,random
41,8820,0.2600972654263068,0.20351292757980888,0.022303379470430956,0.5146518952596475,0,7,SINGLE_VARIANCE,baseline,random
42,9030,0.34046316221386363,0.2179347867419608,0.04114748576220827,0.36468709025614826,0,7,SINGLE_VARIANCE,baseline,random
43,9240,0.2749871704240164,0.2188775197460547,0.027343151481226728,0.4868669542739846,0,7,SINGLE_VARIANCE,baseline,random
44,9450,0.29312544213504393,0.21473293966615076,0.02796915904148455,0.4530204784804625,0,7,SINGLE_VARIANCE,baseline,random
45,9660,0.30760613570582857,0.21806829731606156,0.028868132727501654,0.4259991364129604,0,7,SINGLE_VARIANCE,baseline,random
46,9870,0.29941484140367286,0.22971221297092095,0.02486487567401476,0.4412842996706577,0,7,SINGLE_VARIANCE,baseline,random
47,10080,0.30831551071842483,0.25562559747480024,0.02203404502042338,0.4246754246186459,0,7,SINGLE_VARIANCE,baseline,random
48,10290,0.3116057904310046,0.2683551802217793,0.01657819424362593,0.4185356790894154,0,7,SINGLE_VARIANCE,baseline,random
49,10500,0.3169677878308003,0.2843571901451591,0.01366017837578849,0.4085300557263705,0,7,SINGLE_VARIANCE,baseline,random
50,10710,0.32312343269294624,0.29413664725630306,0.011977077762511109,0.3970434660369311,0,7,SINGLE_VARIANCE,baseline,random
51,10920,0.33235802992581204,0.3058898409598638,0.009284078247451998,0.37981147300668605,0,7,SINGLE_VARIANCE,baseline,random
52,11130,0.3462430243651771,0.3164015635394213,0.00943976166207482,0.3539017206514251,0,7,SINGLE_VARIANCE,baseline,random
53,11340,0.34472339018335546,0.32514817342757824,0.006968085533054706,0.3567373966391635,0,7,SINGLE_VARIANCE,baseline,random
54,11550,0.35014348597760114,0.3311125060552247,0.006663499442149356,0.34662336019615586,0,7,SINGLE_VARIANCE,baseline,random
55,11760,0.35856787036622106,0.33985012130229875,0.006905561591610221,0.3309032449157461,0,7,SINGLE_VARIANCE,baseline,random
56,11970,0.3585312297841694,0.34794641947064636,0.004317922324855117,0.33097161717266393,0,7,SINGLE_VARIANCE,baseline,random
57,12180,0.3611704501574595,0.35440496983012487,0.003511988158526007,0.3260467649099191,0,7,SINGLE_VARIANCE,baseline,random
58,12390,0.3651260854390747,0.358557817598539,0.0025862642545333332,0.31866544898631916,0,7,SINGLE_VARIANCE,baseline,random
59,12600,0.36768870766689654,0.36387731922450534,0.002080323113028456,0.3138835308089009,0,7,SINGLE_VARIANCE,baseline,random
60,12810,0.3712845362929556,0.3663684650579898,0.0021334145459598443,0.30717362324501946,0,7,SINGLE_VARIANCE,baseline,random
61,13020,0.3746135081282267,0.37068705161431065,0.0016612760115544453,0.3009616772319207,0,7,SINGLE_VARIANCE,baseline,random
62,13230,0.3784256495518348,0.3724114441819967,0.002102860672480062,0.293848124492649,0,7,SINGLE_VARIANCE,baseline,random
63,13440,0.3788774972500029,0.3751732653500594,0.0015752473747233117,0.29300496520922575,0,7,SINGLE_VARIANCE,baseline,random
64,13650,0.3800144295425446,0.37593106432316453,0.0017279101261231627,0.29088342066896006,0,7,SINGLE_VARIANCE,baseline,random
65,13860,0.3818091331187919,0.37794046988296276,0.001423133701237888,0.28753445820341983,0,7,SINGLE_VARIANCE,baseline,random
66,14070,0.3819066028308637,0.3797776894500596,0.0009204118036228721,0.2873525772445943,0,7,SINGLE_VARIANCE,baseline,random
67,14280,0.3838055944616206,0.38130378059942466,0.0011697201363989511,0.2838090106200279,0,7,SINGLE_VARIANCE,baseline,random
68,14490,0.3845704760050133,0.38243438873345137,0.0008478407276284736,0.28238172222917124,0,7,SINGLE_VARIANCE,baseline,random
69,14700,0.3853745046107691,0.38354764754321685,0.0007280338250188881,0.2808813844254615,0,7,SINGLE_VARIANCE,baseline,random
70,14910,0.3856061621879382,0.3846848272181054,0.0004950087493201857,0.2804491055014849,0,7,SINGLE_VARIANCE,baseline,random
71,15120,0.3866582905641215,0.3852896270550746,0.0004766309354412954,0.27848580722348437,0,7,SINGLE_VARIANCE,baseline,random
72,15330,0.3871570526667875,0.3858912046704853,0.00045846425388779485,0.27755510446946463,0,7,SINGLE_VARIANCE,baseline,random
73,15540,0.38923078749583073,0.386992053860805,0.0007247916731698352,0.2736854625977574,0,7,SINGLE_VARIANCE,baseline,random
74,15750,0.3892018123448409,0.3877927926352028,0.0006029401316061451,0.2737395309655829,0,7,SINGLE_VARIANCE,baseline,random
75,15960,0.39078160982338744,0.3884697725715433,0.0006869167034762446,0.2707915887377805,0,7,SINGLE_VARIANCE,baseline,random
76,16170,0.39080652726100235,0.3892292503326002,0.0006409398811950204,0.27074509216619386,0,7,SINGLE_VARIANCE,baseline,random
77,16380,0.3909766202973158,0.38998031944432465,0.000455570762765742,0.27042769423942614,0,7,SINGLE_VARIANCE,baseline,random
78,16590,0.39258811039874714,0.39083365660148767,0.000627107582701028,0.2674206127722081,0,7,SINGLE_VARIANCE,baseline,random
79,16800,0.3937037908596253,0.3918514023092522,0.0005705791056016188,0.2653387246897035,0,7,SINGLE_VARIANCE,baseline,random
80,17010,0.3948170228144272,0.3929998272187001,0.0005934749973329935,0.2632614055817385,0,7,SINGLE_VARIANCE,baseline,random
81,17220,0.39542167248224275,0.3937697283492225,0.0007063277350497322,0.2621331139412049,0,7,SINGLE_VARIANCE,baseline,random
82,17430,0.395893634777241,0.39443882528690716,0.0005302552569499351,0.2612524203091098,0,7,SINGLE_VARIANCE,baseline,random
83,17640,0.3964124222521938,0.395127650270693,0.00046090781847479796,0.2602843497016826,0,7,SINGLE_VARIANCE,baseline,random
84,17850,0.3967324771418119,0.3956782017951888,0.0004624478963405243,0.2596871191470498,0,7,SINGLE_VARIANCE,baseline,random
85,18060,0.39742309017340127,0.3961214028345327,0.0004776237854969333,0.2583984176859195,0,7,SINGLE_VARIANCE,baseline,random
86,18270,0.39877469987178843,0.39702687614452503,0.00042680344300568423,0.25587627965272763,0,7,SINGLE_VARIANCE,baseline,random
87,18480,0.39841070943649315,0.3974580018951018,0.00035610262014497754,0.2565554950517232,0,7,SINGLE_VARIANCE,baseline,random
88,18690,0.39903473976584475,0.39820007329980206,0.00035047268175331857,0.25539103860442114,0,7,SINGLE_VARIANCE,baseline,random
89,18900,0.399933039294773,0.39869589551080203,0.00034735032430539256,0.25371478886323345,0,7,SINGLE_VARIANCE,baseline,random
90,19110,0.40011859900083047,0.39938231010514186,0.0003027193250333636,0.25336852973781143,0,7,SINGLE_VARIANCE,baseline,random
91,19320,0.40131513181192713,0.3997859447973733,0.00045774768890616155,0.25113576911584345,0,7,SINGLE_VARIANCE,baseline,random
92,19530,0.4014814789260032,0.40048242917295895,0.0004976843884406082,0.2508253611751312,0,7,SINGLE_VARIANCE,baseline,random
93,19740,0.401632897675416,0.4010640343228975,0.00029356227019978776,0.2505428099421177,0,7,SINGLE_VARIANCE,baseline,random
94,19950,0.4030601991249487,0.4016368192468643,0.00039721070623209933,0.24787942917843128,0,7,SINGLE_VARIANCE,baseline,random
95,20160,0.403237724902353,0.4022434811471051,0.0003263107418632705,0.24754816156796833,0,7,SINGLE_VARIANCE,baseline,random
96,20370,0.4032824157379086,0.4026903279523934,0.00030549152842257406,0.24746476733350528,0,7,SINGLE_VARIANCE,baseline,random
97,20580,0.4037981334752294,0.40307952025659843,0.000270563303916594,0.24650242493448235,0,7,SINGLE_VARIANCE,baseline,random
98,20790,0.40491671314400607,0.403578381101515,0.0003590192034783822,0.24441512685638833,0,7,SINGLE_VARIANCE,baseline,random
99,21000,0.4043973285436975,0.4038610727486834,0.00019792279645206384,0.24538431171489858,0,7,SINGLE_VARIANCE,baseline,random
100,21210,0.40484415670684853,0.40412303505845387,0.00027405505990263677,0.24455051901133237,0,7,SINGLE_VARIANCE,baseline,random
101,21420,0.4051856668740391,0.40460077363999286,0.00023597135640374101,0.24391325236370406,0,7,SINGLE_VARIANCE,baseline,random
102,21630,0.4053653673370909,0.404970178318559,0.0001501965909619375,0.24357792673457765,0,7,SINGLE_VARIANCE,baseline,random
103,21840,0.4058316860915512,0.40528945963972457,0.00020816177828312344,0.24270776409249362,0,7,SINGLE_VARIANCE,baseline,random
104,22050,0.4059790498153109,0.4055167724819539,0.00020804702744652722,0.2424327796403617,0,7,SINGLE_VARIANCE,baseline,random
105,22260,0.40625570269922745,0.4057799971666475,0.00019249266736999949,0.2419165383309432,0,7,SINGLE_VARIANCE,baseline,random
106,22470,0.4061662277171451,0.40587949213593905,9.92317824349303e-05,0.242083500920512,0,7,SINGLE_VARIANCE,baseline,random
107,22680,0.4066587904965853,0.4060589439257848,0.00017586789618457538,0.2411643662611179,0,7,SINGLE_VARIANCE,baseline,random
108,22890,0.4072724942964587,0.4063423840485879,0.00026330086487200404,0.24001917938015518,0,7,SINGLE_VARIANCE,baseline,random
109,23100,0.4075905976026156,0.40663103731418004,0.0002503604908144645,0.2394255905298385,0,7,SINGLE_VARIANCE,baseline,random
110,23310,0.40736682121871975,0.40694184267231237,0.00013610516560095536,0.2398431629469552,0,7,SINGLE_VARIANCE,baseline,random
111,23520,0.4081092333878933,0.407333707121917,0.0002457643406999129,0.2384578029791987,0,7,SINGLE_VARIANCE,baseline,random
112,23730,0.40810874029092165,0.40768480988622086,0.00018149703393133674,0.23845872311067431,0,7,SINGLE_VARIANCE,baseline,random
113,23940,0.40893011018971226,0.4081051153499037,0.00028908826580277634,0.23692602601362717,0,7,SINGLE_VARIANCE,baseline,random
114,24150,0.40895940633920974,0.40829797232070797,0.0002398421471240871,0.2368713586544318,0,7,SINGLE_VARIANCE,baseline,random
115,24360,0.40896668812367304,0.4085217604163581,0.00018438669024351112,0.2368577706596384,0,7,SINGLE_VARIANCE,baseline,random
116,24570,0.40910190074605646,0.4087934616036843,0.0001284510804823038,0.23660546047135864,0,7,SINGLE_VARIANCE,baseline,random
117,24780,0.4096778186020552,0.4091010702219998,0.00020765753504939274,0.23553078312157189,0,7,SINGLE_VARIANCE,baseline,random
118,24990,0.40972940991293744,0.40940660587230315,0.0001387397662287428,0.2354345124248511,0,7,SINGLE_VARIANCE,baseline,random
119,25200,0.40984279865020135,0.40957961972562323,8.40181809411242e-05,0.2352229261606136,0,7,SINGLE_VARIANCE,baseline,random
120,25410,0.40979122310444427,0.40969133951366576,5.427055060123755e-05,0.23531916743921036,0,7,SINGLE_VARIANCE,baseline,random
121,25620,0.4101253316377239,0.4098640942618549,7.259562919380018e-05,0.2346957124284894,0,7,SINGLE_VARIANCE,baseline,random
122,25830,0.41020915803330554,0.4099917080682258,6.373478132242523e-05,0.2345392902448264,0,7,SINGLE_VARIANCE,baseline,random
123,26040,0.41039689244821215,0.41009775181025054,0.0001067004443712083,0.23418897305744607,0,7,SINGLE_VARIANCE,baseline,random
124,26250,0.41046096330864934,0.4101948063523795,8.979991911432194e-05,0.23406941520422792,0,7,SINGLE_VARIANCE,baseline,random
125,26460,0.4107036268728095,0.4103688611042193,0.0001181908414212177,0.23361659882893224,0,7,SINGLE_VARIANCE,baseline,random
126,26670,0.4108442952487935,0.4105619259279122,0.0001289821320679101,0.23335410806583692,0,7,SINGLE_VARIANCE,baseline,random
127,26880,0.41118161176917317,0.410727633869467,0.00014083701682587004,0.23272466686969231,0,7,SINGLE_VARIANCE,baseline,random
128,27090,0.411123070228864,0.4108666735863865,0.00011063130295803522,0.23283390687108585,0,7,SINGLE_VARIANCE,baseline,random
129,27300,0.4113651658291399,0.41102747063917533,0.00010596564767256706,0.23238215033082663,0,7,SINGLE_VARIANCE,baseline,random
130,27510,0.41165245654287497,0.41117969012733613,0.00010897374002723693,0.23184605856072563,0,7,SINGLE_VARIANCE,baseline,random
131,27720,0.41154534741272536,0.41132482871761195,9.398354789533203e-05,0.23204592691856205,0,7,SINGLE_VARIANCE,baseline,random
132,27930,0.4118078693057819,0.41146231924125914,0.0001387442744155354,0.23155605439706897,0,7,SINGLE_VARIANCE,baseline,random
133,28140,0.41207163244404194,0.41169776612621745,0.00014933813511230245,0.23106386568049384,0,7,SINGLE_VARIANCE,baseline,random
